koniec1|koniec2|długość|ograniczenie
1;2;190;50
2;3;240;50
3;4;390;50
3;5;110;20
2;6;130;20
6;7;190;20
8;7;130;40
7;9;50;40
9;10;150;40
10;11;100;40
11;12;60;40
12;13;100;20
12;14;260;50
3;14;220;50
12;15;50;50
15;16;120;50
16;17;470;50
17;18;90;30
18;19;140;20
18;20;80;20
20;21;60;20
21;22;50;20
17;23;340;50
23;24;320;90
23;25;310;40
25;26;110;20
15;27;90;50
27;28;180;20
27;29;210;50
29;30;410;30
30;31;80;30
29;32;140;50
32;33;250;20
32;34;120;50
34;35;370;20
34;36;30;50
36;37;130;20
36;38;120;50
38;39;140;30
38;40;80;50
40;41;550;30
41;42;210;20
42;43;380;20
43;44;110;70
44;45;60;70
43;46;270;60
46;47;230;60
47;48;110;50
48;49;850;30
49;50;70;50
50;51;250;30
50;52;70;40
52;53;100;40
53;40;90;40
52;54;150;30
54;55;370;30
55;56;290;20
56;57;70;10
56;4;60;30
49;58;130;50
58;59;270;30
59;60;330;30
60;61;240;20
48;61;80;50
61;62;310;50
62;63;200;20
63;64;260;20
64;65;180;30
65;66;50;30
58;66;170;50
66;67;90;50
67;68;90;40
68;69;390;50
69;70;190;60
62;70;170;60
70;71;210;20
71;72;180;20
68;73;390;50
73;74;240;40
74;75;120;40
75;76;50;40
76;77;110;50
77;78;170;40
78;79;640;40
79;80;230;30
77;81;200;50
81;82;50;20
81;83;110;20
81;84;120;50
84;85;210;50
76;86;210;40
86;87;190;50
87;88;190;40
88;89;100;40
89;90;280;40
87;91;30;60
91;92;10;20
92;93;40;20
93;94;60;20
94;95;40;20
91;96;70;70
96;97;90;30
97;98;260;30
98;99;220;30
96;100;120;80
100;101;200;20
100;102;380;70
102;103;270;60
102;104;80;50
104;105;470;40
105;106;260;20
106;107;70;20
105;108;100;40
107;108;250;40
108;109;160;40
109;110;100;30
109;111;290;40
111;112;90;40
111;113;130;40
111;114;170;40
114;115;340;40
114;116;510;40
116;117;120;40
107;118;210;40
118;119;340;30
118;120;420;20
120;121;100;10
121;122;50;10
120;123;250;30
104;123;420;70
123;124;250;20
123;125;140;90
125;126;140;30
125;127;170;90
127;128;560;30
127;129;70;30
129;130;120;30
130;131;510;30
127;132;310;90
132;133;190;20
133;134;140;20
134;135;210;20
132;136;280;30
136;137;30;30
137;138;170;30
132;139;70;90
139;140;390;20
139;141;270;30
141;142;320;30
139;143;130;90
143;144;300;20
143;145;190;20
145;146;420;20
143;147;110;90
147;148;450;90
148;149;180;90
149;150;130;20
150;151;110;20
149;152;290;90
147;153;490;50
153;154;230;50
154;155;70;30
155;156;40;20
156;157;50;20
157;158;70;20
154;159;70;50
159;160;90;50
160;161;60;50
4;161;50;50
159;162;110;40
162;163;200;40
163;164;60;40
164;165;120;50
153;165;50;50
153;166;50;20
166;167;50;20
165;167;60;30
167;168;210;30
168;169;320;30
169;170;100;30
170;171;100;30
164;172;400;50
172;173;170;90
172;174;70;20
174;175;90;20
175;176;110;30
164;177;140;40
177;178;300;40
178;179;140;40
179;180;200;40
180;181;60;20
180;182;130;40
182;183;160;40
183;184;240;50
184;185;30;50
185;186;130;20
186;187;50;20
187;188;70;20
188;189;30;20
178;189;160;20
